"test_country","MSE","num.trees","mtry","max.depth"
"angola","0.398843747138218","50","16","5"
"benin","0.173932310095621","30","4","5"
"burkina_faso","0.140420426799537","30","1","10"
"cameroon","0.369999417433245","100","1","10"
"cote_d_ivoire","0.307452775668356","50","5","5"
"democratic_republic_of_congo","0.263432638719866","30","12","5"
"ethiopia","0.425869240140712","50","11","5"
"ghana","0.377839485603477","100","13","5"
"guinea","0.172368576861106","30","10","5"
"kenya","0.220090738944375","150","2","5"
"lesotho","0.337364862645738","30","2","5"
"malawi","0.225318123018017","200","3","5"
"mali","0.158345730386864","50","8","5"
"mozambique","0.226972951686579","30","16","5"
"nigeria","0.404810211250587","100","16","5"
"rwanda","0.121796963449912","50","12","5"
"senegal","0.267443830799331","200","2","5"
"sierra_leone","0.201658088732164","150","2","10"
"tanzania","0.180543507328575","200","2","5"
"togo","0.101870922225235","30","1","10"
"uganda","0.157377234028294","50","4","5"
"zambia","0.276848492310399","100","1","10"
"zimbabwe","0.444386235504536","50","7","5"
