PICP,PINAW,CWC,Winkler_Score,reduction,image_type,point_method,interval_method,nominal_level,method,path
0.779,0.303,6.543,2.517,PCA,ms,Ridge,SC,90,SC_Ridge,dhs_ooc/PCA_099/resnet_ms_pca099/SC_Ridge/90
0.886,0.09,0.218,0.567,PCA,ms,RF,SC,90,SC_RF,dhs_ooc/PCA_099/resnet_ms_pca099/SC_RF/90
0.785,0.304,5.693,2.433,PCA,ms,XGBoost,SC,90,SC_XGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/SC_XGBoost/90
0.823,0.308,2.419,2.176,PCA,nl,Ridge,SC,90,SC_Ridge,dhs_ooc/PCA_099/resnet_nl_pca099/SC_Ridge/90
0.889,0.066,0.153,0.48,PCA,nl,RF,SC,90,SC_RF,dhs_ooc/PCA_099/resnet_nl_pca099/SC_RF/90
0.824,0.302,2.321,2.084,PCA,nl,XGBoost,SC,90,SC_XGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/SC_XGBoost/90
0.794,0.281,4.258,2.233,PCA,msnl,Ridge,SC,90,SC_Ridge,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_Ridge/90
0.895,0.056,0.119,0.35,PCA,msnl,RF,SC,90,SC_RF,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_RF/90
0.797,0.28,3.957,2.198,PCA,msnl,XGBoost,SC,90,SC_XGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/SC_XGBoost/90
0.865,0.383,1.302,2.283,PCA,ms,Ridge,J_aB,90,J_aB_Ridge,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_Ridge/90
0.871,0.396,1.214,2.337,PCA,ms,RF,J_aB,90,J_aB_RF,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_RF/90
0.865,0.384,1.305,2.298,PCA,ms,XGBoost,J_aB,90,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/J_aB_XGBoost/90
0.893,0.38,0.833,2.059,PCA,nl,Ridge,J_aB,90,J_aB_Ridge,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_Ridge/90
0.896,0.404,0.85,2.167,PCA,nl,RF,J_aB,90,J_aB_RF,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_RF/90
0.893,0.382,0.837,2.067,PCA,nl,XGBoost,J_aB,90,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/J_aB_XGBoost/90
0.877,0.357,0.991,2.046,PCA,msnl,Ridge,J_aB,90,J_aB_Ridge,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_Ridge/90
0.878,0.366,1.0,2.086,PCA,msnl,RF,J_aB,90,J_aB_RF,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_RF/90
0.874,0.356,1.038,2.061,PCA,msnl,XGBoost,J_aB,90,J_aB_XGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/J_aB_XGBoost/90
0.871,0.366,1.122,2.168,PCA,ms,NGBoost,NGB,90,NGBoost,dhs_ooc/PCA_099/resnet_ms_pca099/NGB/NGBoost/90
0.894,0.362,0.783,1.961,PCA,nl,NGBoost,NGB,90,NGBoost,dhs_ooc/PCA_099/resnet_nl_pca099/NGB/NGBoost/90
0.871,0.34,1.042,1.962,PCA,msnl,NGBoost,NGB,90,NGBoost,dhs_ooc/PCA_099/resnet_msnl_pca099/NGB/NGBoost/90
